timestamp,protocol,src_ip,src_port,dst_ip,dst_port,prediction
2024-07-06 16:46:33.902405,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.902406,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.902407,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.902477,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.902557,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.902560,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.902561,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.902566,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.902604,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.902607,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.902608,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.902609,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.902676,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.903549,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.903554,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.903555,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.903675,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.903677,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.903678,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.903679,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.903835,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.903837,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.903944,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.903946,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.903947,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.904806,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.904809,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.905190,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.905192,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.905371,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.905373,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.905374,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.905375,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.905533,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.905536,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.905537,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.905538,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.905539,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907215,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907218,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907219,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907220,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907335,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907342,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907343,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907344,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907375,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907377,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907378,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907486,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907489,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907490,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907491,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907726,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.907803,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.908580,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.908585,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.908586,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.908587,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.908588,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.908741,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.908749,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.908750,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.908751,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.908785,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.908788,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.908863,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.910193,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.910350,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.910353,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.910354,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.910570,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.910573,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.910574,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.910575,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.910576,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.910577,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.910578,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.910579,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.910652,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.910655,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.910656,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.910657,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.911724,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.929725,UDP,192.168.1.44,54945,239.255.255.250,1900,1.0
2024-07-06 16:46:33.930638,UDP,192.168.1.25,62628,239.255.255.250,1900,1.0
2024-07-06 16:46:34.043699,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:34.043735,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:34.043751,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:34.053210,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:34.055414,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:34.055421,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:34.055423,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:34.055528,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:34.055531,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:34.055532,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:34.055575,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:34.055577,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:34.055578,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:34.055740,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:34.055743,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
